"rep","N","ok_rate_inner","failed"
1,413,1,FALSE
2,290,1,FALSE
3,292,1,FALSE
4,329,1,FALSE
5,352,1,FALSE
6,318,1,FALSE
7,367,1,FALSE
8,446,1,FALSE
9,383,1,FALSE
10,457,1,FALSE
11,306,1,FALSE
12,536,1,FALSE
13,512,1,FALSE
14,307,1,FALSE
15,360,1,FALSE
16,444,1,FALSE
17,270,1,FALSE
18,261,1,FALSE
19,438,1,FALSE
20,345,1,FALSE
21,265,1,FALSE
22,492,1,FALSE
23,444,1,FALSE
24,396,1,FALSE
25,332,1,FALSE
26,480,1,FALSE
27,395,1,FALSE
28,303,1,FALSE
29,311,1,FALSE
30,325,1,FALSE
