"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,4.62153176467242e-05,1.85106808281458e-05,0.000208347153257085
1,4.44519007057995e-05,1.8568061372742e-05,0.000182320111724717
2,4.21683462576823e-05,1.8652481786149e-05,0.000209669376450597
3,4.08610864405019e-05,1.86862241374333e-05,0.000199499324103495
4,4.44350592097261e-05,1.87182347260494e-05,0.000206408172235572
5,4.34439508589675e-05,1.8462944654859e-05,0.000203216061712962
6,4.12827101970403e-05,1.87378410307796e-05,0.000203043318568745
7,4.05312144055353e-05,1.8765950435205e-05,0.000203276979610842
8,4.41951330500618e-05,1.85265762241383e-05,0.000204543495660048
9,4.30019340788323e-05,1.85678134890787e-05,0.000198818643758983
10,4.07661775521566e-05,1.85007753841266e-05,0.000200333504803699
11,3.96885188093085e-05,1.8614813726086e-05,0.000191669316023154
12,4.34654669094763e-05,1.85607882136177e-05,0.000213675976990666
13,4.27722464106536e-05,1.84767270391325e-05,0.000202457715713156
14,4.04792470437044e-05,1.85829492058362e-05,0.000213319047087232
15,3.97694699844769e-05,1.86478305980066e-05,0.000204828140482144
16,4.98964466250045e-05,1.86779140563134e-05,0.000213482600673038
17,4.80042947177437e-05,1.85754016171659e-05,0.000208358356868812
18,4.6014580828534e-05,1.88715735713644e-05,0.000209577101341585
19,4.46075381306355e-05,1.87142637448181e-05,0.000203132860162687
20,4.73329854415799e-05,1.85601238720226e-05,0.000232960544465349
21,4.63685059390071e-05,1.8574892925013e-05,0.000213629512334104
22,4.4715317572491e-05,1.88568384755757e-05,0.000208879568818589
23,4.40026471160425e-05,1.8631365207484e-05,0.000201450111519985
24,4.72673825268531e-05,1.84559048561184e-05,0.000227172184772305
25,4.59566907366942e-05,1.87064642103082e-05,0.000220002060681452
26,4.43709419293913e-05,1.87868218795845e-05,0.000223594815319875
27,4.31263382856664e-05,1.85765702039952e-05,0.000211271666331263
28,4.58179757576041e-05,1.85799545536378e-05,0.000231220776037443
29,4.50774570438098e-05,1.85176631245418e-05,0.000214106055615272
30,4.36919934413212e-05,1.86994206504312e-05,0.000223013314112174
31,4.28974960687947e-05,1.86775586825733e-05,0.000208772645343645
32,4.32177587715629e-05,1.84574687540686e-05,0.000243324816553882
