"t","Lambda_hat","Lambda_lo","Lambda_hi"
0,0,0,0
1,2.2829631333143,2.15255642946443,2.42349938308112
2,4.81174617245773,4.57444944012547,5.02683575875371
3,7.28106888826385,6.88212151548409,7.63066120325784
4,10.5491260243366,9.73868810114288,11.2452219754382
5,13.8807136422673,12.6751694761514,14.8915735203954
6,20.0175528651608,17.9954443598388,21.7075082242651
7,22.8267151845173,20.5661201454968,24.614846896958
8,25.4873680830046,23.0039626722194,27.4157212525291
9,27.8813920380487,25.2383066874656,29.8901630566649
10,30.0753662605207,27.3217195888925,32.1450288325456
11,33.7517205969524,30.5068568424071,36.2389503235979
12,35.9497947946343,32.5710012735822,38.4817766365688
13,40.3798771476187,36.4467460934113,43.368632799095
14,43.6013878207431,39.1964335218481,46.959572672067
15,45.7546308233845,41.2176565830775,49.2258848264185
16,48.5498076598404,43.7472956327607,52.1678838858757
17,52.14944933943,46.7955871392486,56.279411329194
18,54.6398308702887,49.0377151731096,58.8840428809173
19,57.7304775307958,51.7207645437437,62.2628303588978
20,62.7385944927707,56.3281747465332,67.5066095109854
21,66.3959861685981,59.5941854315749,71.4559092689483
22,69.7766737680441,62.5975455147377,75.0993997522551
23,72.225488549789,64.8226276487313,77.7436024833932
24,74.6054889171216,67.0174180446934,80.2589207357855
25,77.3955309095622,69.4238318367226,83.3250587647744
26,79.5151345720098,71.3441309683218,85.5766653938307
27,81.8206964956515,73.354512480754,88.0634480066118
28,83.6960861828136,75.1111987611608,90.0031863129903
29,90.0164782740076,81.1540248927877,96.4039116645374
30,92.6628382188207,83.4455219643347,99.2051603507998
31,94.7173006632112,85.3676690771671,101.310034118971
32,97.0688618400275,87.5242950460768,103.777606213297
33,100.056675276024,90.2196659479213,106.977963809268
34,103.923472647988,93.5142999934918,111.262663191567
35,111.285608047916,100.394979905908,119.103751960059
36,115.489214401649,104.043958094921,123.564919253081
37,118.279604033522,106.507115368722,126.542428648207
38,120.480001025899,108.551809776352,128.849086608622
39,122.4006330698,110.308027200095,130.806816713314
40,124.191984302551,111.982418404972,132.588941396464
41,125.903330882784,113.612571707014,134.286457052274
42,128.420417209551,115.938682034298,137.007316314119
43,130.195085512197,117.620960610207,138.825178293762
44,131.948991626808,119.319498515491,140.643615154016
45,133.875329070856,121.055873167683,142.675695095674
46,135.867376931498,122.90292604022,144.760605368903
47,142.850667086724,129.086166725092,152.544069738694
48,151.813066310497,136.491819107473,162.510877858929
49,157.590289256676,141.403625300258,168.813335810439
50,160.870188716026,144.254295796513,172.333788775055
51,163.666088363242,146.75322655921,175.312168862574
52,167.854865412899,150.335314184704,180.058787701999
53,179.139210995107,159.96370108246,192.419570572265
54,185.802548165428,165.551419719261,199.882591273761
55,190.723167307192,169.674099731717,205.338692954904
56,200.241330534355,177.599428991688,216.041128226804
57,206.94865199196,183.300308077209,223.25098184424
58,211.459177494907,187.258149864185,228.100816313148
59,214.36030710703,189.487356240583,231.307080238208
60,219.409301547619,193.581822686274,236.827186629738
61,222.054944202155,195.965584648909,239.602756264007
62,245.801737695454,214.842401835476,269.172530448048
63,256.583506303467,224.075236591224,282.005618443476
64,262.034218774948,229.0277208126,288.339659163739
65,266.179148955138,232.616402813436,292.72646378923
66,273.175241654694,238.391334987611,300.587873103289
67,277.28509599035,241.744392423265,304.922384628341
68,280.886288694479,244.855230573806,308.699615212799
69,283.459276737267,247.021638648845,311.297246056051
70,286.428152236608,249.654522111993,314.412530847465
71,293.323923874587,255.205507767406,322.150367946212
72,296.499927339507,257.592842752778,325.456217799138
73,300.80976038742,261.028296624291,330.194388628191
74,303.070502699428,262.980599553133,332.830249793469
75,305.200927687921,265.002616851342,335.251648688253
76,308.486048011576,267.951377459096,338.771347093471
77,312.919004191707,271.815833956225,343.526734343605
78,316.291934856881,274.841651388618,347.119084582909
79,319.043189276423,277.368525285567,350.025123654251
80,320.923715351832,278.874242413569,351.913284320983
81,323.467227119874,280.967491257676,354.552668761626
82,325.698735223655,282.881346632706,356.747641741653
83,327.377721227784,284.396460715175,358.496066891497
84,329.514036864321,286.283010330977,360.727505469448
85,331.706095770189,288.250685630912,363.189184516047
86,333.426653204658,289.852686088948,365.022256444478
87,338.249173923844,294.188205151091,370.424199274782
88,347.001428255661,301.193087098614,380.433701738023
89,349.845504678157,303.58859925165,383.545195346865
90,354.42269148259,307.365191371973,388.625342364679
91,356.489604568854,309.160378155765,390.757735304291
92,379.09434234587,327.317134222745,418.375156397181
93,388.5618366464,334.931838124168,429.130624011248
94,394.60116820107,339.914668469066,435.807398925459
95,399.680917619188,344.252128096707,441.331608605037
96,402.682117038958,346.822878972125,444.690627886864
97,406.030321983519,349.347987576163,448.675663059755
98,409.332961189341,352.122930428215,452.35494716254
99,412.727403084099,355.224917283708,455.975527186884
100,415.217287382459,357.535410980429,458.486568657359
