"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,0.000135600651606935,5.43123040108001e-05,0.000611312681177975
1,0.000130426598967679,5.44806646244019e-05,0.000534946576369
2,0.000123726407626107,5.47283630856441e-05,0.00061519222449261
3,0.000119890768447247,5.48273667288925e-05,0.000585352210502325
4,0.000130377184229063,5.49212891965004e-05,0.000605623504875423
5,0.000127469167038674,5.41722410071786e-05,0.000596257513491872
6,0.000121127857339648,5.49788161774321e-05,0.000595750666755569
7,0.000118922888853076,5.50612921561867e-05,0.000596436253075796
8,0.000129673215388326,5.43589427912713e-05,0.000600152345711052
9,0.00012617224284861,5.44799373074001e-05,0.000583355022060229
10,0.000119612295686304,5.42832403857543e-05,0.000587799785294957
11,0.000116450330450943,5.46178409957959e-05,0.000562378134982646
12,0.0001275322974166,5.44593244028753e-05,0.000626948016113801
13,0.000125498314829567,5.42126799867931e-05,0.000594032445766422
14,0.000118770411092771,5.45243471082922e-05,0.000625900745859083
15,0.000116687849798643,5.47147160055206e-05,0.000600987523857999
16,0.000146401475089739,5.48029840680747e-05,0.000626380629454767
17,0.000140849700383241,5.45022016813241e-05,0.000611345553764985
18,0.000135011668457319,5.53712016584315e-05,0.000614921479520027
19,0.000130883255706112,5.49096379157149e-05,0.000596013391304544
20,0.000138880007651203,5.44573751540599e-05,0.000683530985758503
21,0.000136050122330276,5.4500709124507e-05,0.000626811683875329
22,0.000131199492038342,5.53279673220215e-05,0.000612874844995988
23,0.00012910844120939,5.46664048005455e-05,0.000591076028021979
24,0.000138687521730144,5.41515854898089e-05,0.000666547323499337
25,0.000134841812777973,5.48867532528883e-05,0.000645509417706837
26,0.000130189057317135,5.51225311912501e-05,0.000656050941488153
27,0.0001265372580074,5.45056304392246e-05,0.000619893513219916
28,0.000134434808293096,5.45155604806086e-05,0.000678426320368718
29,0.000132262047718664,5.43327908101823e-05,0.000628209912487305
30,0.00012819695032582,5.48660866999446e-05,0.000654344755169641
31,0.000125865810632307,5.48019413637684e-05,0.000612561120161608
32,0.000126805495424971,5.41561741325336e-05,0.00071394086110286
33,0.000122625524696469,5.47130192217821e-05,0.00062624706907413
34,0.000116938612982577,5.45844010164708e-05,0.000649921174252075
35,0.000113775311474104,5.46529741811858e-05,0.000608242157043155
36,0.000123194399360934,5.48629825969787e-05,0.000629543932523145
37,0.000121105919059701,5.48089884609509e-05,0.000658294842846578
38,0.000115479560056222,5.56043022297813e-05,0.000657574320534943
39,0.00011374552125409,5.54330008409627e-05,0.000612507702820347
40,0.000121561244102241,5.46813305263896e-05,0.000630617963234838
41,0.000119045708919191,5.4331294997862e-05,0.000575867751024383
42,0.000113529904722613,5.46871726055309e-05,0.000622571196527383
43,0.000111187886993239,5.51252298777738e-05,0.000596848053442475
44,0.00012022646075858,5.53263680636968e-05,0.000618076229232727
45,0.000118846105245399,5.42665858117359e-05,0.000601516056841941
46,0.000113388681685285,5.49419902943385e-05,0.000606306507788953
47,0.000111769803288128,5.46600292542479e-05,0.000593224445706774
48,0.000136895308454824,5.44771399895482e-05,0.000632469182289235
49,0.000132989876440256,5.43545367158425e-05,0.000638561547465716
50,0.0001279256002566,5.49855586638612e-05,0.000610415075929959
51,0.000124853964518107,5.4908310498624e-05,0.00060558029971939
52,0.000131776676624328,5.49363554524376e-05,0.000596853146631674
53,0.000130239736906966,5.4512445390183e-05,0.000612751286118365
54,0.000125888568006896,5.57737375847299e-05,0.000634769564676856
55,0.000124464079384548,5.52814078322188e-05,0.000629509010386245
56,0.000130748428448975,5.51089226823619e-05,0.000649601788497281
57,0.000128500621855055,5.4679314117688e-05,0.000621036325862835
58,0.000124336874303299,5.52108511529052e-05,0.000628756668710213
59,0.000121860911237234,5.4856086920327e-05,0.000563665158176441
60,0.000127954263944181,5.43790149269912e-05,0.000605193406385075
61,0.000126916222652021,5.47925397257301e-05,0.000641138546293702
62,0.000123604809027973,5.51925342359879e-05,0.000579826356390648
63,0.000121958880260696,5.51461424582517e-05,0.000611402406386697
64,0.000127954286711702,5.48198919069649e-05,0.000619299115526793
65,0.00012555131430396,5.45533042877721e-05,0.000598338785316165
66,0.000117826666030703,5.50434459536539e-05,0.00065974423025487
67,0.00011637752038812,5.51037380407857e-05,0.000626219939680767
