"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
0,0.00226486615728524,0.000907149765288864,0.0102104332590721
1,0.00217844668525621,0.000909961803811155,0.00893493049196956
2,0.00206653692348861,0.000914098980553529,0.0102752312246785
3,0.00200247226550349,0.000915752586184358,0.00977682921098155
4,0.00217762133694234,0.000917321323618676,0.0101154099482119
5,0.00212905025972947,0.000904810366819676,0.0099589747344969
6,0.00202313470873478,0.0009182821664369,0.00995050914081148
7,0.00198630628317829,0.000919659719205687,0.00996196012748579
8,0.00216586331672434,0.000907928748238094,0.0100240280626114
9,0.0021073884190832,0.000909949655818918,0.00974347122590832
10,0.00199782108186602,0.000906664330890177,0.00981770976169841
11,0.00194500844441026,0.000912252988384883,0.00939310534592032
12,0.00213010469313202,0.000909605369347515,0.0104715820111932
13,0.00209613215486404,0.000905485797765462,0.00992181060195536
14,0.00198375952757674,0.000910691409297978,0.0104540900085418
15,0.00194897560478841,0.000913871040572775,0.0100379776026609
16,0.0024452666147102,0.00091534533546206,0.010462105251112
17,0.00235253825023251,0.00091032152591258,0.0102109823125533
18,0.00225502868241348,0.000924835974150905,0.0102707091142138
19,0.00218607398188138,0.000917126718421523,0.00995489729037129
20,0.00231963951150096,0.00090957281207274,0.0114166575068366
21,0.0022723734296908,0.000910296596523356,0.0104693049257264
22,0.00219135591053056,0.000924113853835056,0.0102365252573156
23,0.00215643019152014,0.000913064123999226,0.0098724311158184
24,0.00231642452069381,0.000904465368608403,0.0111329883546481
25,0.00225219167259668,0.00091674448796951,0.0107816033112509
26,0.00217447915236541,0.00092068256250604,0.0109576728225371
27,0.00211348507474261,0.000910378794647193,0.0103537543704593
28,0.00224539369137212,0.00091054465089054,0.0113313969734351
29,0.00220910321758311,0.000907491945492585,0.010492658800696
30,0.00214120604008422,0.000916399305436866,0.0109291752924365
31,0.00210227024341087,0.000915327919722037,0.0102312852768902
32,0.00211796530283868,0.000904542010287421,0.0119245776141406
33,0.00204814945660757,0.00091384270008901,0.0104598744625245
34,0.00195316396997733,0.000911694458049106,0.0108552905537168
35,0.00190032901345664,0.00091283979944843,0.0101591479140854
36,0.00205765107005865,0.000916347459242377,0.0105149402336869
37,0.0020227682852168,0.000915445623669081,0.0109951515233158
38,0.00192879417856829,0.000928729330038488,0.010983117019205
39,0.00189983144312546,0.000925868173298949,0.0102303930752157
40,0.00203037333922792,0.000913313420524991,0.0105328792021356
41,0.00198835768195759,0.000907466961728409,0.00961841528717533
42,0.00189623011393341,0.000913410997691314,0.010398478302322
43,0.00185711262716501,0.000920727637243545,0.00996883821179436
44,0.00200807915710903,0.000924087142266834,0.0103234012346005
45,0.001985023807081,0.000906386158325286,0.0100468054103015
46,0.00189387134003312,0.000917667083136471,0.0101268177856069
47,0.00186683206808987,0.000912957636612385,0.00990831500316217
48,0.00228649012771113,0.000909902933694364,0.0105637991375219
49,0.00222125975680545,0.000907855155884318,0.0106655566994696
50,0.00213667382300951,0.000918394782631205,0.0101954410320824
51,0.00208536991149303,0.000917104547274039,0.0101146883152805
52,0.00220099632021751,0.00091757296734446,0.00996892328064699
53,0.00217532562682194,0.000910492621178307,0.0102344615185574
54,0.00210265034783458,0.000931559319398592,0.0106022212111388
55,0.00207885786576343,0.000923336195236038,0.010514356947655
56,0.00218382203332397,0.000920455266760285,0.0108499560219238
57,0.00214627810545666,0.000913279741514062,0.0103728421672242
58,0.00207673322638936,0.000922157724238635,0.0105017909814847
59,0.00203537852131556,0.000916232284392589,0.00941460181544847
60,0.00213715257746369,0.00090826400253339,0.0101082262399956
61,0.00211981472130579,0.00091517088912105,0.0107085989515805
62,0.0020645059262447,0.000921851786437155,0.00968453378452659
63,0.00203701484623785,0.000921076929044319,0.0102119318919052
64,0.00213715295773758,0.000915627738176513,0.0103438264593234
65,0.00209701737712872,0.000911175065792525,0.00999373711995074
66,0.00196799665161079,0.000919361643498279,0.011019359876675
67,0.00194379233633672,0.000920368670426828,0.0104594213345774
68,0.00207561140792461,0.000913939571019023,0.0108797286880361
69,0.00205796202357902,0.000918245412709388,0.0104149087367567
70,0.0019419998584944,0.000923447544068206,0.0110112481676958
71,0.00193279640084988,0.000921727220637678,0.010585211280379
72,0.00203078449288418,0.000910678185433861,0.010384026698282
73,0.00201798316918364,0.000908825619290437,0.0103605400492595
74,0.00188167448538742,0.000908808689950209,0.0103715972059442
75,0.00187135949610776,0.000913016148015677,0.0101462378421264
76,0.00200595223673483,0.000909613201395576,0.0105257291544901
77,0.00200648006178011,0.00090533342353969,0.010316973839963
78,0.00187592912760509,0.000917823372086747,0.010506789291711
79,0.00187494819548205,0.000916662611920597,0.0106309994361825
80,0.0022887742567723,0.000907489763709031,0.0111080793746647
81,0.0022450765293721,0.00090114961435692,0.0104620947851866
82,0.0021268868743953,0.000914948788857115,0.0116254849268282
83,0.00210158308055317,0.000917851102566428,0.0111228161503586
84,0.00218460117925863,0.000914141857594095,0.0111304225038562
85,0.00217033773012756,0.000905749827521272,0.0109289562054618
86,0.00207547921093202,0.000918738874801667,0.0122886579491441
87,0.00207107355204185,0.000918805160798222,0.0112323755575814
88,0.00215736874326923,0.000901566064797477,0.0107993325891322
89,0.00214248705076301,0.000907798587176856,0.0109184154726991
90,0.00203086062864624,0.000915613809362011,0.0111211863991932
91,0.00201824658113037,0.000918221136110522,0.0111026838967128
92,0.00209468769460908,0.000919190292470654,0.0116190596153863
93,0.00209635727724281,0.00090614044085002,0.0106473659200591
94,0.0020022650022157,0.000925535288296447,0.0112473740133086
95,0.00200241293147387,0.000921806932404692,0.0107086341442291
96,0.00203687312745465,0.000911455241657151,0.0109489322623065
97,0.00200545379896803,0.000913368052228728,0.0104810951498844
98,0.00188834712595257,0.000919187086756376,0.0114667049010355
99,0.00187057223747581,0.000927427028326122,0.0109679515959465
100,0.00200033828542955,0.000908334946790552,0.0109318089980606
101,0.0019926249304818,0.000923262637331493,0.0102274704852017
102,0.00188187651572041,0.000926438355472916,0.0106102431883462
103,0.00188024470711765,0.000923290128792122,0.0117053557551229
104,0.00194072042243203,0.000908969212955195,0.0115964846992598
105,0.00193768871841139,0.000908089174678212,0.0101135286279662
106,0.00181519184612581,0.000913598043688836,0.0103062705475726
107,0.00181439109343549,0.000912436996317962,0.0106356519958484
108,0.00193236764149885,0.000910942507639565,0.0108568847490438
109,0.00193969898074012,0.000902568632037418,0.0107593848117784
110,0.00182483181848482,0.000914921550992826,0.0108084496030541
111,0.00183066077447321,0.000902721296852034,0.0104473669215825
112,0.0021877871852202,0.000906980310390798,0.010556456711597
113,0.00216125244854189,0.000911502936787144,0.0105022200737314
114,0.00205138083511528,0.000920901963930141,0.0106183864495362
115,0.00203754786936447,0.000918961775721741,0.0113288903542245
116,0.00211751671594048,0.000917534021192228,0.0116124243548634
117,0.00211946650346446,0.000909694256552698,0.0110454285358508
118,0.00202727099340843,0.000932984667654236,0.0115011557499981
119,0.00203313452626903,0.000918938427528236,0.0105523110439307
120,0.00207914706534513,0.000913789166542953,0.0110477674939167
121,0.00208341470441181,0.000908374925093677,0.0105760155175891
122,0.00197662783410114,0.000913214415953268,0.0108101034924932
123,0.00197930231337316,0.00091025677876051,0.0103665354657524
124,0.0020401451749603,0.000933295724435138,0.0105387407223182
125,0.00205646930525534,0.00090521071974416,0.0102266657913294
126,0.00197029440170525,0.000921364465657547,0.0101535382297398
127,0.0019815044029403,0.000914458431921916,0.0113759182899345
128,0.00206552175052484,0.00090147595862665,0.0110679817223352
129,0.00197973075998702,0.000916127525856208,0.0101147621509105
130,0.00191426607682043,0.00090478203985892,0.010300915029082
