"x","loc_int","code","mu"
0,0,0,0.00101690167348549
1,0,256,0.00100306388277957
2,0,512,0.00100928632919428
3,0,768,0.000993580151741415
0,1,1,0.000992783362630871
1,1,257,0.000979789543567273
2,1,513,0.000994797240261003
3,1,769,0.000980054522983852
0,2,2,0.00103158906523651
1,2,258,0.00101497214417784
2,2,514,0.00101988316162462
3,2,770,0.000998038102026326
0,3,3,0.00100450170560139
1,3,259,0.000989201639351875
2,3,515,0.000997978735804066
3,3,771,0.000978436860457744
0,4,4,0.00107515495327441
1,4,260,0.00107058734249203
2,4,516,0.00107817662440406
3,4,772,0.00106810445681548
0,5,5,0.00105219191679878
1,5,261,0.0010497007671376
2,5,517,0.00106639096470257
3,5,773,0.00105893318355287
0,6,6,0.00109078999090156
1,6,262,0.00108419963704372
2,6,518,0.0010943918851431
3,6,774,0.00107887743283808
0,7,7,0.00106668939785599
1,7,263,0.00106263546727128
2,7,519,0.00107546925802301
3,7,775,0.00106409256717473
0,8,8,0.000965007003738021
1,8,264,0.000944779091123379
2,8,520,0.000957364021628634
3,8,776,0.000935424035574741
0,9,9,0.000946611118721604
1,9,265,0.000926925550067542
2,9,521,0.000948992792714326
3,9,777,0.000926998091320922
0,10,10,0.000975488004171638
1,10,266,0.000955352197762033
2,10,522,0.000965698566263794
3,10,778,0.000940704162038643
0,11,11,0.000955803113981586
1,11,267,0.000934369920974159
2,11,523,0.000952165392617097
3,11,779,0.000926028604046374
0,12,12,0.00103134469959057
1,12,268,0.00101973266152092
2,12,524,0.00103827232514896
3,12,780,0.00102074360192331
0,13,13,0.00101375225977896
1,13,269,0.00100383177768356
2,13,525,0.00103278946272751
3,13,781,0.00101666301503039
0,14,14,0.00104262281167613
1,14,270,0.00103221435528907
2,14,526,0.00105012953387027
3,14,782,0.00103012199352135
0,15,15,0.00102411708242159
1,15,271,0.00101339882040068
2,15,527,0.00103855712401137
3,15,783,0.00101895462735299
0,16,16,0.00102187803123501
1,16,272,0.00101885622611813
2,16,528,0.00100939215729171
3,16,784,0.00100533389138996
0,17,17,0.000996378082312016
1,17,273,0.000991583791376784
2,17,529,0.000991956737627655
3,17,785,0.000986564319327414
0,18,18,0.00101783562480482
1,18,274,0.00101193991239939
2,18,530,0.00100086670302082
3,18,786,0.000991031913377025
0,19,19,0.000989073558854664
1,19,275,0.00098221680669627
2,19,531,0.000976963045232473
3,19,787,0.000967108629709672
0,20,20,0.00108108881269366
1,20,276,0.00108544693341003
2,20,532,0.00107948619062837
3,20,788,0.00107962176255469
0,21,21,0.00105332597195375
1,21,277,0.00105865402229279
2,21,533,0.00106258296887477
3,21,789,0.00106407633985941
0,22,22,0.0010738130003075
1,22,278,0.00107602981383152
2,22,534,0.0010719307907246
3,22,790,0.00106743447721869
0,23,23,0.00104414053225185
1,23,279,0.00104786523250764
2,23,535,0.00104808388519038
3,23,791,0.00104608726133303
0,24,24,0.000975450636682259
1,24,280,0.000964373677631525
2,24,536,0.000963683606909605
3,24,792,0.000951021504109199
0,25,25,0.000960024792933463
1,25,281,0.000948233374155589
2,25,537,0.000956533643687353
3,25,793,0.00094300348847331
0,26,26,0.000968601951975482
1,26,282,0.000957178635505202
2,26,538,0.000955005829703371
3,26,794,0.000939527875411251
0,27,27,0.000953007459258042
1,27,283,0.000939012164906966
2,27,539,0.000944338824600647
3,27,795,0.000926605449426918
0,28,28,0.00104283657890177
1,28,284,0.00103892268697629
2,28,540,0.00104546589427472
3,28,796,0.00103630778623308
0,29,29,0.00102559862599756
1,29,285,0.00102386019906686
2,29,541,0.00103959472144577
3,29,797,0.00103229627362262
0,30,30,0.00103235435771922
1,30,286,0.00102921393823164
2,30,542,0.00103613092449512
3,30,798,0.00102520900296764
0,31,31,0.00101491351075234
1,31,287,0.00101174246523653
2,31,543,0.00102515295847044
3,31,799,0.0010145254163583
0,32,32,0.000985958599357574
1,32,288,0.000966581364981432
2,32,544,0.000982379253626709
3,32,800,0.00096045409817482
0,33,33,0.000962807936805428
