"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,0.000135600651606935,5.25774126911422e-05,0.000464382361328464
1,0.000130426598967679,5.34705202119289e-05,0.00053690638913186
2,0.000123726407626107,5.35348696367913e-05,0.000575333028040848
3,0.000119890768447247,5.4671690812572e-05,0.000611761410643054
4,0.000130377184229063,5.43863043767396e-05,0.000562286757605027
5,0.000127469167038674,5.53354643941802e-05,0.00064211689617265
6,0.000121127857339648,5.57862553821364e-05,0.000610213175785973
7,0.000118922888853076,5.48637662968623e-05,0.000497341069954167
8,0.000129673215388326,5.36586472736722e-05,0.00045951041016689
9,0.00012617224284861,5.49931385596894e-05,0.000575302789543143
10,0.000119612295686304,5.41071220788911e-05,0.000498286336748408
11,0.000116450330450943,5.51217433089682e-05,0.000567538635705518
12,0.0001275322974166,5.46626139171632e-05,0.000509587721634863
13,0.000125498314829567,5.39937685841534e-05,0.000547180492632133
14,0.000118770411092771,5.52955289233193e-05,0.000543314001549475
15,0.000116687849798643,5.47147160055206e-05,0.000602291835130803
16,0.000146401475089739,5.53915813884124e-05,0.000531976469282026
17,0.000140849700383241,5.56021157061641e-05,0.000622206319322342
18,0.000135011668457319,5.4800351736292e-05,0.000604002461668747
19,0.000130883255706112,5.64610728089547e-05,0.000480183412664826
20,0.000138880007651203,5.64966743777355e-05,0.000638495292572956
21,0.000136050122330276,5.75893761996969e-05,0.000763067294158038
22,0.000131199492038342,5.74443385179292e-05,0.000513905324207574
23,0.00012910844120939,5.55452562820605e-05,0.000619580130990991
24,0.000138687521730144,5.59798233271815e-05,0.00059879621674366
25,0.000134841812777973,5.65334942762863e-05,0.000597073413049057
26,0.000130189057317135,5.54692759795917e-05,0.000560678967414466
27,0.0001265372580074,5.51398493076485e-05,0.000602351198184348
28,0.000134434808293096,5.64628294307455e-05,0.000564847076301189
29,0.000132262047718664,5.59109240078771e-05,0.000628579494005762
30,0.00012819695032582,5.598371588564e-05,0.00059871841626301
31,0.000125865810632307,5.60410490051842e-05,0.00050059282296813
32,0.000126805495424971,5.34986786753098e-05,0.000521921352162274
33,0.000122625524696469,5.31886206768605e-05,0.000561336205904098
34,0.000116938612982577,5.42759723197991e-05,0.000525551328850415
35,0.000113775311474104,5.46437760620394e-05,0.000488470279723539
36,0.000123194399360934,5.48510970227951e-05,0.000609584571028637
37,0.000121105919059701,5.49081413493423e-05,0.000509730557346546
38,0.000115479560056222,5.56866574795817e-05,0.00052438734914711
39,0.00011374552125409,5.62861418822225e-05,0.000613561179120099
40,0.000121561244102241,5.48555195823448e-05,0.000570192245937993
41,0.000119045708919191,5.51422192579144e-05,0.000563521470518692
42,0.000113529904722613,5.54468187661211e-05,0.00044718663872753
43,0.000111187886993239,5.51812246280728e-05,0.000558517545703057
44,0.00012022646075858,5.6003690090688e-05,0.000565019113238459
45,0.000118846105245399,5.54303039087839e-05,0.000602383959517265
46,0.000113388681685285,5.49419902943385e-05,0.000433359182841538
47,0.000111769803288128,5.47701961633452e-05,0.000493602454000665
48,0.000136895308454824,5.60426123197933e-05,0.000601879578327532
49,0.000132989876440256,5.49936166060648e-05,0.000494104828721072
50,0.0001279256002566,5.52715292528424e-05,0.000488271415541137
51,0.000124853964518107,5.59992972652027e-05,0.000523178674649984
52,0.000131776676624328,5.66260835357962e-05,0.000511406670845305
53,0.000130239736906966,5.67527452646606e-05,0.000593145757185138
54,0.000125888568006896,5.77319820108618e-05,0.000636217078886446
55,0.000124464079384548,5.69954339852369e-05,0.000643201957921841
56,0.000130748428448975,5.53848069198008e-05,0.000525008685537963
57,0.000128500621855055,5.53291103464589e-05,0.000573378348997916
58,0.000124336874303299,5.65159326769343e-05,0.000452376665153935
59,0.000121860911237234,5.65072691061205e-05,0.00047965314578408
60,0.000127954263944181,5.72814253429067e-05,0.000604036767106871
61,0.000126916222652021,5.68207462662858e-05,0.000495311372393115
62,0.000123604809027973,5.56591928132175e-05,0.000508832621907317
63,0.000121958880260696,5.54976266166888e-05,0.000613812083032541
64,0.000127954286711702,5.55633410837984e-05,0.000583497869807157
65,0.00012555131430396,5.62469799791174e-05,0.000572091137841147
66,0.000117826666030703,5.39829569096906e-05,0.000661211192896508
67,0.00011637752038812,5.40069128805481e-05,0.000612467783662596
68,0.000124269709489027,5.45626752967941e-05,0.000601300177421855
69,0.000123213016575839,5.54507271588234e-05,0.000528369347128242
70,0.000116270202274586,5.38299375187578e-05,0.000635974923975035
71,0.000115719178608299,5.38883905522274e-05,0.000580816191830338
72,0.000121585860437083,5.34718502024726e-05,0.000579979481058662
73,0.000120819427582037,5.47464506524362e-05,0.000594955428610824
74,0.000112658439223852,5.43000543130593e-05,0.000561531743181704
75,0.000112040866629931,5.43009850087032e-05,0.000607907097921743
76,0.000120099119110718,5.38742809863862e-05,0.000513433431379971
77,0.000120130720722073,5.38203261709494e-05,0.000603147783363913
78,0.000112314456752088,5.49325615164438e-05,0.00060642842349474
79,0.000112255726996849,5.35199876435463e-05,0.000485001527131232
80,0.000137032062402978,5.48784356088411e-05,0.000600445623120538
81,0.000134415819367976,5.68085479509474e-05,0.000505132750717883
82,0.000127339642183509,5.48977028461761e-05,0.000613452530679068
83,0.000125824669246992,5.51280398646886e-05,0.000547520626906718
84,0.000130795076987608,5.56656272487468e-05,0.000565455840561866
85,0.00012994110467224,5.51684970592442e-05,0.000622723760235715
86,0.000124261794673276,5.4908897857127e-05,0.000585569256897445
87,0.000123998021816614,5.55961228442729e-05,0.000543503813483175
88,0.000129164633593357,5.35229306101637e-05,0.000489644957902659
89,0.000128273646196876,5.59178078954075e-05,0.000581373670609819
90,0.000121590418789864,5.48889445356408e-05,0.000611258391628413
91,0.000120835198417547,5.49751622078595e-05,0.0004828642181355
92,0.0001254118330076,5.50259839600559e-05,0.000596271675123284
93,0.000125511793215984,5.47004490881494e-05,0.000529700044725713
94,0.000119878359309167,5.56547459406227e-05,0.000485973992106693
95,0.000119887216037294,5.55858462612806e-05,0.000427822320438024
96,0.000121950395362247,5.54079449873082e-05,0.000550053561907371
97,0.00012006927695614,5.49453320269818e-05,0.000499891553901287
98,0.000113057939391076,5.43585654981174e-05,0.000523003115228679
99,0.000111993732372954,5.40574038478981e-05,0.000560697265794267
100,0.000119763004125452,5.44810130735859e-05,0.000554782345259377
101,0.000119301194956893,5.51597650424178e-05,0.000603762379420176
102,0.000112670535057732,5.42658752349608e-05,0.000622112304639679
103,0.000112572836432531,5.39075346952961e-05,0.000595849025196381
104,0.000116193600677979,5.28054669172238e-05,0.000550700823982653
105,0.000116012088388895,5.4754788353794e-05,0.000478512752738324
106,0.000108678032180626,5.43762647456003e-05,0.000566262699349476
107,0.000108630090015817,5.38538432436228e-05,0.000509813386888729
108,0.0001156935081963,5.40050275053582e-05,0.000610152484163132
109,0.000116132445559141,5.35351367387756e-05,0.000524754582552334
110,0.000109255190583188,5.51500474194869e-05,0.000525529763962796
111,0.000109604178194518,5.38027432645525e-05,0.000597489894510902
112,0.0001309858275461,5.52999355959624e-05,0.00049487343260568
113,0.00012939715636912,5.55021160061344e-05,0.000582356153681965
114,0.000122818991771697,5.52482065560969e-05,0.000513260125821151
115,0.00012199079308833,5.55400372117211e-05,0.000480254797938831
116,0.000126778637910454,5.60939827953363e-05,0.000582866830615857
117,0.000126895374370972,5.69465490086537e-05,0.000549311265004393
118,0.000121375502391509,5.56895982884926e-05,0.000600569703927856
119,0.000121726560167731,5.54208130552101e-05,0.000572902792745709
120,0.000124481394161227,5.44574630074719e-05,0.000514507492158269
121,0.000124736903581245,5.47072582747335e-05,0.000485365904813287
122,0.000118343426796484,5.57838185523359e-05,0.000492127411335319
123,0.000118503551548593,5.47066195351027e-05,0.000461202429577512
124,0.000122146297346312,5.60318485126537e-05,0.000493080655597057
