"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,4.62153176467242e-05,1.79193964023678e-05,0.000158270466137149
1,4.44519007057995e-05,1.82237846724587e-05,0.000182988053716812
2,4.21683462576823e-05,1.82457161976775e-05,0.00019608459346223
3,4.08610864405019e-05,1.86331667823437e-05,0.000208500088914254
4,4.44350592097261e-05,1.85359015802391e-05,0.000191638172850298
5,4.34439508589675e-05,1.88593936223772e-05,0.000218845823904801
6,4.12827101970403e-05,1.90130318863073e-05,0.000207972420611309
7,4.05312144055353e-05,1.86986298123029e-05,0.000169503429771999
8,4.41951330500618e-05,1.82879020038533e-05,0.000156610011207005
9,4.30019340788323e-05,1.8742722374915e-05,0.000196074287598947
10,4.07661775521566e-05,1.84407508680301e-05,0.000169825594928575
11,3.96885188093085e-05,1.87865533541055e-05,0.000193428114209574
12,4.34654669094763e-05,1.86300732013056e-05,0.000173677324888468
13,4.27722464106536e-05,1.84021178105662e-05,0.000186489666365229
14,4.04792470437044e-05,1.8845782843599e-05,0.000185171891624137
15,3.97694699844769e-05,1.86478305980066e-05,0.000205272674922565
16,4.98964466250045e-05,1.88785193764432e-05,0.000181307841939561
17,4.80042947177437e-05,1.89502735328955e-05,0.000212059915262313
18,4.6014580828534e-05,1.86770169068673e-05,0.000205855689442696
19,4.46075381306355e-05,1.92430226818114e-05,0.00016365576921651
20,4.73329854415799e-05,1.92551563831648e-05,0.000217611511541498
21,4.63685059390071e-05,1.96275702410383e-05,0.000260068052530924
22,4.4715317572491e-05,1.95781386014835e-05,0.000175148847126787
23,4.40026471160425e-05,1.89308947444087e-05,0.000211164859622866
24,4.72673825268531e-05,1.90790035756795e-05,0.000204081300749808
25,4.59566907366942e-05,1.9267705314804e-05,0.000203494136019805
26,4.43709419293913e-05,1.89049991917555e-05,0.000191090206940949
27,4.31263382856664e-05,1.87927242276994e-05,0.000205292906996258
28,4.58179757576041e-05,1.92436213724009e-05,0.000192510778847524
29,4.50774570438098e-05,1.90555213586727e-05,0.00021423201612556
30,4.36919934413212e-05,1.90803302346851e-05,0.000204054784845322
31,4.28974960687947e-05,1.90998704677151e-05,0.000170611689921697
32,4.32177587715629e-05,1.82333816199229e-05,0.000177880864073618
33,4.17931441205086e-05,1.81277078733927e-05,0.000191314206495583
34,3.98549349144923e-05,1.84982982870565e-05,0.000179118030146971
35,3.87768207439924e-05,1.86236528969191e-05,0.00016648009335416
36,4.19870275790899e-05,1.86943118793252e-05,0.000207758179984953
37,4.12752332080702e-05,1.87137536861313e-05,0.000173726006054144
38,3.93576615337539e-05,1.89790869999888e-05,0.000178721323412268
39,3.87666676623929e-05,1.91834028477667e-05,0.000209113484726675
40,4.14304167652593e-05,1.86958191729257e-05,0.000194332515761861
41,4.05730738531236e-05,1.87935319524636e-05,0.000192058986827453
42,3.86931813894731e-05,1.88973453402312e-05,0.000152409832189233
43,3.78949765725006e-05,1.88068257349819e-05,0.000190353552730387
44,4.09754968553192e-05,1.90871378290447e-05,0.000192569412354138
45,4.05050450709722e-05,1.88917167582983e-05,0.000205304072690444
46,3.86450498543234e-05,1.87252900594928e-05,0.000147697168507722
47,3.80933048702882e-05,1.8666739305941e-05,0.000168229237341486
48,4.66565616729115e-05,1.91004032754884e-05,0.000205132169852056
49,4.53255151110992e-05,1.87428853023407e-05,0.000168400456336426
50,4.35995121037031e-05,1.88376032929747e-05,0.000166412316604939
51,4.25526393957389e-05,1.90856406693868e-05,0.00017830938382972
52,4.49120332126155e-05,1.92992615203843e-05,0.000174297257864804
53,4.43882145111563e-05,1.93424302807389e-05,0.000202155515141462
54,4.29052522210178e-05,1.96761730521838e-05,0.000216835052373039
55,4.24197590217905e-05,1.94251432778949e-05,0.000219215633878506
56,4.45615864007419e-05,1.88762105068687e-05,0.000178933086839128
57,4.37954905559555e-05,1.88572280403516e-05,0.000195418401140911
58,4.23764050764628e-05,1.9261719983002e-05,0.000154178693304934
59,4.15325491050958e-05,1.92587672709584e-05,0.000163475044035319
60,4.36092812413202e-05,1.95226146490298e-05,0.000205867381397721
61,4.3255496746341e-05,1.93656063337531e-05,0.000168811669692684
62,4.21269031099427e-05,1.89697265119304e-05,0.000173419972336324
63,4.15659388380005e-05,1.89146616357291e-05,0.00020919899761968
64,4.36092890009303e-05,1.89370583936758e-05,0.000198867329026503
65,4.27903096538251e-05,1.91700557158008e-05,0.000194979694749876
66,4.01576005228056e-05,1.83984329833646e-05,0.000225353528535099
67,3.96637037354769e-05,1.84065976403157e-05,0.000208740834464429
68,4.23535140122275e-05,1.85960121917839e-05,0.00020493469884743
69,4.1993372685034e-05,1.88986773958525e-05,0.000180078465132354
70,3.96271276523425e-05,1.83462810233684e-05,0.000216752521308343
71,3.94393281582656e-05,1.8366202944666e-05,0.00019795336144555
72,4.14388064869938e-05,1.822423795889e-05,0.000197668194275384
73,4.11775913863946e-05,1.86586463777999e-05,0.000202772286069795
74,3.83961691379381e-05,1.85065058948733e-05,0.000191380849371478
75,3.81856884856715e-05,1.85068230939008e-05,0.000207186464793615
76,4.0932096365455e-05,1.83613941324702e-05,0.000174988016948875
77,4.09428668041633e-05,1.83430052906435e-05,0.000205564398590656
78,3.82789332765385e-05,1.87220765501161e-05,0.000206682504026981
79,3.82589170431241e-05,1.82406441273232e-05,0.000165297875562493
80,4.67031700562672e-05,1.87036293967792e-05,0.000204643450258182
81,4.5811503965649e-05,1.93614489125944e-05,0.000172158984868746
82,4.33998062899431e-05,1.87101960429056e-05,0.000209076455242269
83,4.28834742911097e-05,1.87886993417482e-05,0.000186605590686803
84,4.45774851225043e-05,1.89719194916715e-05,0.000192718257449918
85,4.42864348852926e-05,1.88024879340251e-05,0.000212236269106425
86,4.23508164903521e-05,1.87140115185764e-05,0.000199573297701525
