"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
0,0.00226486615728524,0.000878172790695475,0.00775633362929393
1,0.00217844668525621,0.000893089894519651,0.0089676642107874
2,0.00206653692348861,0.000894164689020153,0.00960948409123654
3,0.00200247226550349,0.000913152413469843,0.0102179281506319
4,0.00217762133694234,0.000908385754367507,0.0093915791177816
5,0.00212905025972947,0.000924239073476774,0.0107249398135495
6,0.00202313470873478,0.000931768397565796,0.0101920688004755
7,0.00198630628317829,0.000916360548968147,0.00830682555444011
8,0.00216586331672434,0.000896232081598862,0.00767495999889441
9,0.0021073884190832,0.000918521385632987,0.00960897903355955
10,0.00199782108186602,0.000903722719709361,0.00832261384709587
11,0.00194500844441026,0.000920669402923878,0.00947929846743833
12,0.00213010469313202,0.000913000806873703,0.00851137491761035
13,0.00209613215486404,0.000901829436078353,0.00913926714217793
14,0.00198375952757674,0.000923572052372111,0.0090746871811174
15,0.00194897560478841,0.000913871040572775,0.0100597628258536
16,0.0024452666147102,0.000925176366030894,0.00888532235996517
17,0.00235253825023251,0.000928692809687856,0.0103923839508313
18,0.00225502868241348,0.000915301369012795,0.0100883345185972
19,0.00218607398188138,0.000943039517093876,0.00802025025504133
20,0.00231963951150096,0.000943634151318138,0.0106644500789439
21,0.0022723734296908,0.000961884973473021,0.0127451105122961
22,0.00219135591053056,0.000959462485578796,0.00858348955593736
23,0.00215643019152014,0.000927743116719209,0.0103485201123921
24,0.00231642452069381,0.000935001460848845,0.0100013773557987
25,0.00225219167259668,0.000944249134661906,0.00997260227443061
26,0.00217447915236541,0.000926474057805093,0.00936472504630433
27,0.00211348507474261,0.000920971817869299,0.0100607543356242
28,0.00224539369137212,0.000943068857021066,0.00943434277044907
29,0.00220910321758311,0.000933850671861453,0.0104988317258522
30,0.00214120604008422,0.000935066476199535,0.0100000778954085
31,0.00210227024341087,0.000936024081053261,0.00836113786980068
32,0.00211796530283868,0.000893560210480502,0.00871737704257776
33,0.00204814945660757,0.000888381475281508,0.00937570255411711
34,0.00195316396997733,0.000906542936218279,0.00877800662846306
35,0.00190032901345664,0.000912686168116144,0.0081586614243741
36,0.00205765107005865,0.00091614894076618,0.0101815695467896
37,0.0020227682852168,0.000917101722062809,0.00851376062715974
38,0.00192879417856829,0.000930104866335235,0.00875856528945368
39,0.00189983144312546,0.00094011773809707,0.0102479887341637
40,0.00203037333922792,0.00091622280844553,0.00952362031942751
41,0.00198835768195759,0.000921011401898491,0.00941220187629332
42,0.00189623011393341,0.000926098966814204,0.00746912254507426
43,0.00185711262716501,0.000921662888021731,0.00932862395956337
44,0.00200807915710903,0.000935400094810476,0.00943721621266641
45,0.001985023807081,0.000925823127863341,0.010061301530887
46,0.00189387134003312,0.000917667083136471,0.00723816984310409
47,0.00186683206808987,0.000914797696384298,0.00824438142421043
48,0.00228649012771113,0.000936050192272562,0.0100528771179254
49,0.00222125975680545,0.000918529370189435,0.00825277232417324
50,0.00213667382300951,0.000923171198535458,0.00815533990083213
51,0.00208536991149303,0.00093532672376352,0.00873837743687869
52,0.00220099632021751,0.000945795604224604,0.00854175586681474
53,0.00217532562682194,0.000947911168270415,0.00990700071029183
54,0.00210265034783458,0.000964266843115328,0.0106263982774481
55,0.00207885786576343,0.000951964669956981,0.0107430630275988
56,0.00218382203332397,0.000925063215655066,0.00876894314344815
57,0.00214627810545666,0.000924132945169313,0.00957683611823473
58,0.00207673322638936,0.000943955812531306,0.0075558088188442
59,0.00203537852131556,0.000943811109477856,0.00801139348703691
60,0.00213715257746369,0.000956741432749684,0.0100889075042348
61,0.00211981472130579,0.000949046953131456,0.00827292458670084
62,0.0020645059262447,0.00092964613849999,0.00849876288516046
63,0.00203701484623785,0.000926947583542158,0.0102521794498667
64,0.00213715295773758,0.000928045177623284,0.00974585713647606
65,0.00209701737712872,0.000939463637486588,0.00955533650926015
66,0.00196799665161079,0.000901648854382733,0.0110438617798862
67,0.00194379233633672,0.000902048978327692,0.0102297263265803
68,0.00207561140792461,0.000911331584813207,0.0100431996902197
69,0.00205796202357902,0.000926164246635914,0.00882507450131195
70,0.0019419998584944,0.000899093052210507,0.0106223536916945
71,0.00193279640084988,0.000900069362395799,0.00970106648375826
72,0.00203078449288418,0.00089311210865016,0.00968709134508637
73,0.00201798316918364,0.000914401087640844,0.00993722669755127
74,0.00188167448538742,0.000906945165048958,0.00937896851012314
75,0.00187135949610776,0.000906960709967376,0.0101535515983171
76,0.00200595223673483,0.000899833697760055,0.00857560777895149
77,0.00200648006178011,0.000898932518937848,0.0100740592776965
78,0.00187592912760509,0.000917509599232778,0.0101288540793327
79,0.00187494819548205,0.000893916122936922,0.00810072467951918
80,0.0022887742567723,0.000916605562748374,0.0100289265204843
81,0.0022450765293721,0.000948843211104714,0.00843696588828794
82,0.0021268868743953,0.000916927373250516,0.010246174036563
83,0.00210158308055317,0.000920774570972775,0.0091449482255526
84,0.00218460117925863,0.000929753609482606,0.00944451063878475
85,0.00217033773012756,0.000921450306153114,0.0104010264934681
86,0.00207547921093202,0.000917114357613294,0.00978045442243182
87,0.00207107355204185,0.000928592714076797,0.00907785750972417
88,0.00215736874326923,0.000893965277755979,0.0081782814543818
89,0.00214248705076301,0.000933965649803766,0.00971037775775355
90,0.00203086062864624,0.00091678108780947,0.0102095264893623
91,0.00201824658113037,0.000918221136110522,0.00806502633474923
92,0.00209468769460908,0.000919069985030047,0.00995921126875641
93,0.00209635727724281,0.000913632747777425,0.00884730044136738
94,0.0020022650022157,0.000929571864732671,0.00811696724904939
95,0.00200241293147387,0.000928421069731759,0.00714569055095722
96,0.00203687312745465,0.000925449678591796,0.00918725450279832
97,0.00200545379896803,0.000917722898334118,0.00834942494248196
98,0.00188834712595257,0.000907922446509557,0.00873544516046855
99,0.00187057223747581,0.000902892302322411,0.00936503067449013
100,0.00200033828542955,0.000909967623774075,0.00926623687679265
101,0.0019926249304818,0.000921304459882018,0.0100843245514377
102,0.00188187651572041,0.000906374289936226,0.0103908136731776
103,0.00188024470711765,0.000900389116919341,0.00995215196996634
104,0.00194072042243203,0.000881981860139885,0.00919806537982456
105,0.00193768871841139,0.000914540347868661,0.00799234610352711
106,0.00181519184612581,0.000908218067704281,0.00945798717551308
107,0.00181439109343549,0.000899492336923159,0.00851514408531198
108,0.00193236764149885,0.000902017487900391,0.0101910551003128
109,0.00193969898074012,0.000894169150283707,0.00876469899531321
110,0.00182483181848482,0.000921142151552045,0.00877764644152018
111,0.00183066077447321,0.000898638840926917,0.00997955854460257
112,0.0021877871852202,0.00092364565470084,0.00826560990943538
113,0.00216125244854189,0.000927022567446008,0.00972678765426834
114,0.00205138083511528,0.000922781651833952,0.00857271314761758
115,0.00203754786936447,0.000927655945340282,0.00802144256561881
116,0.00211751671594048,0.000936908206228706,0.00973531722172375
117,0.00211946650346446,0.000951148169978914,0.00917485630917397
118,0.00202727099340843,0.000930153985115258,0.0100309989767589
119,0.00203313452626903,0.000925664607142325,0.00956889315300009
120,0.00207914706534513,0.00090957427944194,0.00859354724958684
121,0.00208341470441181,0.000913746478029235,0.00810681068774094
122,0.00197662783410114,0.000931727696483015,0.00821974456462528
123,0.00197930231337316,0.000913735809498103,0.0077032209066052
124,0.0020401451749603,0.000935870410079591,0.0082356661007127
125,0.00205646930525534,0.000910242602895685,0.00992977909539394
126,0.00197029440170525,0.00092738727221776,0.00787799450569329
127,0.0019815044029403,0.000917136737929801,0.00825455415500861
128,0.00206552175052484,0.00088105509654986,0.00911158367362563
129,0.00197973075998702,0.00087594284665459,0.00944211926718041
130,0.00191426607682043,0.000901590118712902,0.0103049877889767
131,0.00184296091518473,0.000894386892256466,0.00926349759744967
132,0.00198585184098083,0.000894967099234703,0.0101434734463797
133,0.00193035200666016,0.000893837875808244,0.0086472712110772
134,0.00186736094955087,0.000912593798572082,0.00882097569542291
135,0.0018164623085759,0.000900564945842257,0.0102758776920534
136,0.00199797570204404,0.000872800243605766,0.00957052674033285
137,0.00192929008891722,0.000875691005133201,0.0096221621546432
138,0.00187598862249186,0.000880013057860981,0.00872827381255815
139,0.00180683000247896,0.000897928081937103,0.00943444603146493
140,0.00194975738784129,0.000901622098071485,0.00971241243758401
141,0.00189900167696611,0.00089452246598068,0.0101683591228973
142,0.00184360793402483,0.000906217746352604,0.00777441597734828
143,0.00178679878037249,0.000921340882542674,0.00830459693179154
144,0.00225305805799724,0.000893151279065687,0.0100656112366927
145,0.00216015757775367,0.000897960379765403,0.00858703027782171
146,0.0021159459051851,0.000910490946512685,0.00912989625925329
147,0.00203732358630921,0.000885703228915744,0.00920831619936762
148,0.0021461522245632,0.000905253050003345,0.00860678042829893
149,0.00209196931254683,0.000916182640800504,0.0102699939339829
150,0.00205359124512963,0.000920466619438092,0.0106746421129701
151,0.00200211224038037,0.000939131884153218,0.0112852333255699
152,0.00216200909743307,0.000894689528229126,0.00905014944520345
153,0.00208323825497274,0.000908485138315175,0.00966696423921876
154,0.00207100413389857,0.000904255832596581,0.00751680509644412
155,0.00198814198715402,0.000909498223078938,0.00808833668475696
156,0.00209025984314049,0.000915078484190621,0.0101991736997267
157,0.00203405751618179,0.000913455612876486,0.00840842470112957
158,0.00202441067203004,0.000921623261214857,0.00858745683434644
159,0.00195832294308971,0.000936749231386105,0.0102812896673447
160,0.00196545170895656,0.000887184799384649,0.00946407071620378
161,0.00189497574515666,0.000897033834510996,0.00812313404762171
162,0.00183640237512212,0.000917035072344653,0.00838347062776424
163,0.00177779597513964,0.000921347789945617,0.00868402128950571
164,0.00190853622882677,0.000889122104378349,0.00826904047893296
165,0.00186963209075141,0.000901804713638081,0.00901397288521089
166,0.00180563809346016,0.000908031183255494,0.00946375147676958
167,0.00176761904328189,0.000905189478238659,0.0088090537723775
168,0.00189534431249961,0.000880221870924034,0.0102957943144008
169,0.00184270515486427,0.00088118486469165,0.010148427732335
170,0.00179630868985516,0.000883762852372866,0.00937903087229522
171,0.00174305890502572,0.000889906566117822,0.00811151031429973
172,0.00185992926853205,0.000911779275814919,0.0102553307621491
173,0.00182374527236672,0.000905492027720051,0.00931853743688367
174,0.00177533668307704,0.000908729319247459,0.00842384004177099
175,0.00173192775322687,0.000916227073483404,0.00990183031727762
176,0.00214989275075495,0.000904701924263698,0.00793866650569947
177,0.00208331383349868,0.000915986559129537,0.00774453634164856
178,0.00203841132822185,0.000925811907124357,0.0086438086446366
179,0.00198019003706654,0.000906085975441109,0.00834683581933738
180,0.00207730236143327,0.00090929953982517,0.00801225089838666
181,0.00204907867450433,0.000932708292123972,0.00838261529618572
182,0.00200225974006066,0.000941485095258555,0.00879804780709814
183,0.00196941884486351,0.000930885365513255,0.0089504131795976
184,0.00206419418819913,0.000906262026802962,0.00968187626964711
185,0.00201206371278139,0.000918723818675529,0.00825253525416299
186,0.00199512707745015,0.000904618504593827,0.00825736876343099
187,0.00193554129879978,0.000900216055939273,0.00763892677437585
188,0.00201462321946035,0.000936476169366295,0.00822397799611734
189,0.00198224077444474,0.000912750099002495,0.00874908996423632
190,0.00196874087966297,0.000923883106747891,0.00696044544241349
191,0.00192194280046608,0.000933712342119563,0.00854845219952453
192,0.00197794374847697,0.000877752192875631,0.00957375872462948
193,0.00192816078163586,0.000900145714616832,0.00868010107443764
194,0.00184078860067477,0.000875060974726463,0.00864594762378154
195,0.00180325041237643,0.000886595610872021,0.00944445036300151
196,0.0019107701437839,0.000877882073724437,0.00958516110414983
197,0.00187980744419601,0.000884995956971659,0.0101380433372291
198,0.00180149767991883,0.000889052051636226,0.0103688139895388
